venue_name,venue_address_1,venue_address_2,venue_address_3,venue_address_4,venue_postcode,website,venue_postcode_clean,postcode_sector,postcode_clean,onspd_postcode_sector,oseast1m,osnrth1m,lat,long,lsoa11,msoa11,osward,oslaua,imd,postcode_match,has_valid_coordinates
City Cafe,Granary Wharf,2 Wharf Approach,Leeds,,LS1 4BR,http://www.leedscitycentre.doubletree.com,LS1 4BR,LS1 4,LS1 4BR,LS1 4,429783.0,433129.0,53.793626,-1.549368,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Epernay,The Electric Press,12 Great George Street,Leeds,,LS1 3DW,http://www.epernaychampagnebars.com,LS1 3DW,LS1 3,LS1 3DW,LS1 3,429872.0,433942.0,53.800928,-1.547938,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The New Roscoe,Bristol Street,Leeds,,,LS7 1DH,http://www.newroscoe.co.uk,LS7 1DH,LS7 1,LS7 1DH,LS7 1,430907.0,434452.0,53.805451,-1.532173,E01033003,E02002384,E05001420,E08000035,3086.0,both,True
Santiago,1 Grand Arcade,Leeds,,,LS1 6PG,,LS1 6PG,LS1 6,LS1 6PG,LS1 6,430374.0,433857.0,53.800135,-1.540325,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The New Conservatory,Albion Place,Leeds,,,LS1 6JL,http://www.thenewconservatory-cafebar.co.uk/,LS1 6JL,LS1 6,LS1 6JL,LS1 6,430111.0,433623.0,53.798047,-1.544341,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The West Indian Centre,10 Laycock Place,Leeds,,,LS7 3JA,,LS7 3JA,LS7 3,LS7 3JA,LS7 3,430637.0,435201.0,53.812215,-1.536203,E01011361,E02002371,E05001419,E08000035,778.0,both,True
Loch Fyne,The Old Post Office,City Square,Leeds,,LS1 2ES,,LS1 2ES,LS1 2,LS1 2ES,LS1 2,429908.0,433510.0,53.797043,-1.547433,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Azucar Bar,5 Brewery Place,Leeds,,,LS10 1NE,http://www.azucarbar.co.uk,LS10 1NE,LS10 1,LS10 1NE,LS10 1,430549.0,433163.0,53.793903,-1.537741,E01033019,E02006876,E05001420,E08000035,13850.0,both,True
Ambiente Leeds,36 - 38 The Calls,Leeds,,,LS2 7EW,http://www.ambiente-popup.co.uk,LS2 7EW,LS2 7,LS2 7EW,LS2 7,430460.0,433270.0,53.794854,-1.539077,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Mumtaz Restaurant,1  Mackenzie House,Chadwick Street,Leeds,,LS10 1QD,,LS10 1QD,LS10 1,LS10 1QD,LS10 1,430797.0,432890.0,53.791419,-1.533999,E01033019,E02006876,E05001420,E08000035,13850.0,both,True
The Gatehouse at Kirkstall Abbey,Abbey Walk,Kirkstall,Leeds,,LS5 3EH,,LS5 3EH,LS5 3,LS5 3EH,LS5 3,425963.0,436287.0,53.822213,-1.607089,E01011488,E02002374,E05001432,E08000035,9025.0,both,True
The Packhorse Pub,208 Woodhouse Lane,Leeds,,,LS2 9DX,http://www.myspace.com/packhorsegigguide,LS2 9DX,LS2 9,LS2 9DX,LS2 9,429382.0,434960.0,53.810105,-1.555281,E01033005,E02002384,E05001429,E08000035,8229.0,both,True
The New Penny,51 Call Lane,Leeds,,,LS1 7BT,,LS1 7BT,LS1 7,LS1 7BT,LS1 7,430343.0,433319.0,53.795301,-1.540848,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Viaduct,11 Lower Briggate,Leeds,,,LS1 6EP,www.viaductleeds.co.uk,LS1 6EP,LS1 6,LS1 6EP,LS1 6,430213.0,433312.0,53.795246,-1.542823,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Foundry Wine Bar,1 Saw Mill Yard,Holbeck,Leeds,,LS11 5WH,www.thefoundrywinebar.co.uk,LS11 5WH,LS11 5,LS11 5WH,LS11 5,429589.0,432862.0,53.791237,-1.552338,E01033032,E02002411,E05001420,E08000035,9129.0,both,True
Malmaison Leeds,1 Swinegate,Leeds,,,LS1 4AG,http://www.malmaison.com/locations/leeds/,LS1 4AG,LS1 4,LS1 4AG,LS1 4,430172.0,433198.0,53.794224,-1.543456,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Fuji Hiro,45 Wade Lane,Leeds,,,LS2 8NJ,,LS2 8NJ,LS2 8,LS2 8NJ,LS2 8,430176.0,434001.0,53.80144,-1.543317,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Kendell's Bistro,St. Peters Square,Leeds,,,LS9 8AH,http://www.kendellsbistro.co.uk,LS9 8AH,LS9 8,LS9 8AH,LS9 8,430843.0,433524.0,53.797114,-1.533238,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Queens Court,167-168 Lower Briggate,Leeds,,,LS1 6NA,http://www.queenscourtleeds.com/,LS1 6NA,LS1 6,LS1 6NA,LS1 6,430259.0,433302.0,53.795153,-1.542125,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Midnight Bell,101 Water Lane,Leeds,,,LS11 5QN,www.midnightbell.co.uk,LS11 5QN,LS11 5,LS11 5QN,LS11 5,429653.0,432913.0,53.791692,-1.551362,E01033032,E02002411,E05001420,E08000035,9129.0,both,True
The Reliance,76-78 North Street,Leeds,,,LS2 7PN,http://www.the-reliance.co.uk,LS2 7PN,LS2 7,LS2 7PN,LS2 7,430531.0,434025.0,53.801635,-1.537925,E01033002,E02002384,E05001420,E08000035,6371.0,both,True
Stylus,"Leeds University Union,",Lifton Place,Woodhouse Lane,,LS2 9JT,,LS2 9JT,LS2 9,LS2 9JT,LS2 9,429512.0,434722.0,53.807958,-1.553329,E01033006,E02002392,E05001429,E08000035,12030.0,both,True
Leeds University Union,"Leeds University Union,",Lifton Place,Woodhouse Lane,Leeds,LS2 9JT,http://www.leedsuniversityunion.org.uk/,LS2 9JT,LS2 9,LS2 9JT,LS2 9,429512.0,434722.0,53.807958,-1.553329,E01033006,E02002392,E05001429,E08000035,12030.0,both,True
Leeds Beckett Union,Calverley Street,Leeds,,,LS1 3HE,,LS1 3HE,LS1 3,LS1 3HE,LS1 3,429877.0,434169.0,53.802968,-1.54784,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Norman Bar,36 Call Lane,Leeds,,,LS1 6DT,http://www.normanbar.co.uk,LS1 6DT,LS1 6,LS1 6DT,LS1 6,430315.0,433324.0,53.795348,-1.541273,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Oracle Bar,3 Brewery Place,Leeds,,,LS10 1NE,www.oraclebar.com,LS10 1NE,LS10 1,LS10 1NE,LS10 1,430549.0,433163.0,53.793903,-1.537741,E01033019,E02006876,E05001420,E08000035,13850.0,both,True
Fibre,167 - 168 Lower Briggate,Leeds,,,LS1 6LY,www.barfibre.com,LS1 6LY,LS1 6,LS1 6LY,LS1 6,430249.0,433336.0,53.795459,-1.542274,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Oulton Hall and Spa,Rothwell Lane,Oulton,Leeds,,LS26 8HN,http://www.qhotels.co.uk/our-locations/oulton-hall/,LS26 8HN,LS26 8,LS26 8HN,LS26 8,435806.0,427731.0,53.744732,-1.458565,E01011635,E02002426,E05001439,E08000035,20503.0,both,True
The Claret Jug at Oulton Hall and Spa,Rothwell Lane,Oulton,Leeds,,LS26 8HN,http://www.qhotels.co.uk/our-locations/oulton-hall,LS26 8HN,LS26 8,LS26 8HN,LS26 8,435806.0,427731.0,53.744732,-1.458565,E01011635,E02002426,E05001439,E08000035,20503.0,both,True
Calverley Grill at Oulton Hall Hotel,Rothwell Lane,Oulton,Leeds,,LS26 8HN,http://www.qhotels.co.uk/our-locations/oulton-hall/,LS26 8HN,LS26 8,LS26 8HN,LS26 8,435806.0,427731.0,53.744732,-1.458565,E01011635,E02002426,E05001439,E08000035,20503.0,both,True
Milo,10-12 Call Lane,Leeds,,,LS1 6DN,,LS1 6DN,LS1 6,LS1 6DN,LS1 6,430392.0,433447.0,53.796449,-1.540092,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Mook,Hirst's Yard,City Centre,Leeds,,LS1 6NJ,,LS1 6NJ,LS1 6,LS1 6NJ,LS1 6,430271.0,433358.0,53.795656,-1.541938,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Adelphi,1-5 Hunslet Road,Leeds,,,LS10 1JQ,,LS10 1JQ,LS10 1,LS10 1JQ,LS10 1,430326.0,433060.0,53.792974,-1.541132,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Revolution Electric Press,41 Cookridge Street,Leeds,,,LS2 3AW,http://www.revolution-bars.co.uk,LS2 3AW,LS2 3,LS2 3AW,LS2 3,429899.0,434048.0,53.801879,-1.547518,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Revolution Call Lane,48 Call Lane,Leeds,,,LS1 6DT,www.revolution-bars.co.uk,LS1 6DT,LS1 6,LS1 6DT,LS1 6,430315.0,433324.0,53.795348,-1.541273,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Granary Wharf,Granary Wharf,Leeds,,,LS1 2SP,www.granarywharf.co.uk,LS1 2SP,LS1 2,LS1 2SP,LS1 2,429561.0,433552.0,53.797456,-1.552701,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Golf Cafe Bar,Blue Granary Wharfe,1 Little Neville Street,Leeds,,LS1 4ED,http://www.golfbarleeds.co.uk/,LS1 4ED,LS1 4,LS1 4ED,LS1 4,429877.0,433132.0,53.793647,-1.54794,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Tiger Tiger,The Light,117 Albion Street,Leeds,,LS2 8DY,,LS2 8DY,LS2 8,LS2 8DY,LS2 8,430050.0,433861.0,53.800205,-1.545248,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Oporto,31-33 Call Lane,Leeds,,,LS1 7BT,www.oportobar.co.uk,LS1 7BT,LS1 7,LS1 7BT,LS1 7,430343.0,433319.0,53.795301,-1.540848,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Verve,16 Merrion Street,Leeds,,,LS1 6PQ,www.verveleeds.co.uk,LS1 6PQ,LS1 6,LS1 6PQ,LS1 6,430389.0,433897.0,53.800493,-1.540093,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Sela Bar,20 New Briggate,Leeds,,,LS1 6NU,www.mojobar.co.uk,LS1 6NU,LS1 6,LS1 6NU,LS1 6,430352.0,433839.0,53.799974,-1.540661,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Zen Rendezvous,10 The Green,Guiseley,Leeds,,LS20 9BT,www.zenrendezvous.co.uk,LS20 9BT,LS20 9,LS20 9BT,LS20 9,419359.0,441792.0,53.871977,-1.707061,E01011265,E02002338,E05001425,E08000035,22149.0,both,True
Cheerful Chilli,Yorkgate Farm,East Chevin Road,Otley,,LS21 3ED,,LS21 3ED,LS21 3,LS21 3ED,LS21 3,419900.0,445300.0,53.903485,-1.698607,E01011574,E02002333,E05001437,E08000035,18323.0,both,True
The Cross Keys,107 Water Lane,Leeds,West Yorkshire,,LS11 5WD,http://www.the-crosskeys.com,LS11 5WD,LS11 5,LS11 5WD,LS11 5,429565.0,432911.0,53.791679,-1.552698,E01033032,E02002411,E05001420,E08000035,9129.0,both,True
Duck and Drake,43 Kirkgate,Leeds,West Yorkshire,,LS2 7DR,http://www.duckndrake.co.uk/,LS2 7DR,LS2 7,LS2 7DR,LS2 7,430512.0,433415.0,53.796154,-1.538273,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Whitelocks,Turks Head Yard,Briggate,Leeds,West Yorkshire,LS1 6HB,http://www.whitelocksleeds.com,LS1 6HB,LS1 6,LS1 6HB,LS1 6,430207.0,433526.0,53.797169,-1.542893,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Gusto Restaurant & Bars,10 Greek Street,Leeds,,,LS1 5RU,http://gustorestaurants.uk.com,LS1 5RU,LS1 5,LS1 5RU,LS1 5,429887.0,433645.0,53.798273,-1.547743,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
