postcode_sector,sector_easting,sector_northing,postcode_count
LS26 8,437299.608,429183.79733333335,375
LS26 9,439331.14666666667,427281.36666666664,150
LS27 0,425555.9446153846,427626.1323076923,325
LS27 1,426527.5189873418,427542.2784810127,79
LS27 7,425621.81058495824,429150.48746518104,359
LS27 8,427012.3871866295,427880.67688022286,359
LS27 9,426275.8992805755,428056.8489208633,278
LS28 0,422164.0487804878,433312.0243902439,82
LS28 5,421397.86666666664,435365.344,375
LS28 6,422249.5254237288,434444.7161016949,236
LS28 7,421759.5301204819,433587.0030120482,332
LS28 8,421546.9190283401,432947.2388663968,247
LS28 9,422865.1359223301,433026.3932038835,206
LS29 0,409176.237012987,449445.05844155845,308
LS29 1,411904.59349593497,447487.65040650405,123
LS29 6,416737.1886120996,444148.5516014235,281
LS29 7,415931.0035842294,446170.6487455197,279
LS29 8,412576.65476190473,447611.9583333333,336
LS29 9,411223.3177257525,447552.35785953177,299
LS3 1,428865.0990990991,434004.7792792793,222
LS3 2,428200.0,434200.0,1
LS4 2,427578.00324675324,434763.012987013,308
LS5 2,427019.0,435668.0,1
LS5 3,426270.6176470588,435836.35661764705,272
LS6 1,428586.52994011977,435080.5179640719,334
LS6 2,429166.5351681957,435675.2018348624,327
LS6 3,427707.32525951555,436028.23875432526,289
LS6 4,428653.27,437076.1766666667,300
LS6 9,430516.262295082,435072.1639344262,61
LS7 1,430454.64705882355,434642.95187165774,187
LS7 2,429621.19601328904,436202.19601328904,301
LS7 3,430470.0444444445,436103.98148148146,270
LS7 4,430885.5052631579,436045.00350877194,285
LS7 9,430516.2068965517,435072.0689655172,58
LS8 1,431918.68166089966,437587.0311418685,289
LS8 2,432686.1608187134,437106.1754385965,342
LS8 3,433045.5082644628,435666.45454545453,242
LS8 4,431818.2670157068,435921.4293193717,191
LS8 5,431681.57421875,435134.46875,256
LS8 9,431390.4166666667,434664.0416666667,96
LS88 1,428296.75,426810.45,20
LS88 4,428048.0,426640.0,9
LS88 8,432963.3333333333,430001.9090909091,33
LS9 0,432818.17669172934,432940.04887218046,266
LS9 1,433057.0833333333,434599.27777777775,36
LS9 6,432907.8120567376,434548.3546099291,282
LS9 7,431724.0662020906,434204.14285714284,287
LS9 8,431325.01953125,433180.49609375,256
LS9 9,432348.9518072289,433464.5240963855,166
LS98 1,430207.75,430080.25,4
LS98 3,430879.6666666667,431913.6666666667,3
LS98 4,429809.0,432843.0,1
LS99 2,432981.77192982455,430045.49122807017,57
LS99 3,420929.0,434553.0,1
LS99 8,432961.0,429999.0,1
