postcode_sector,food_venue_count,daytime_noise_count,sector_easting,sector_northing,postcode_count
LS16 6,0,17,425908.22641509434,438861.4748427673,318.0
LS16 7,0,7,425486.54785478546,439965.50495049503,303.0
LS16 9,0,2,425364.6848484849,442432.0424242424,165.0
LS17 5,0,11,429508.5,438805.90654205607,214.0
LS17 6,0,12,430682.10126582277,438695.57911392406,316.0
LS17 7,0,4,429954.51311953354,440056.8104956268,343.0
LS17 8,0,3,432253.6313131313,439794.9621212121,396.0
LS17 9,2,2,434469.3878504673,442913.92523364484,214.0
LS18 4,2,8,423484.34269662923,437847.5842696629,356.0
LS18 5,0,8,423486.3333333333,438930.81651376147,327.0
LS19 6,0,5,421113.73454545456,439662.1854545454,275.0
LS19 7,0,14,420673.9773299748,441049.4559193955,397.0
LS2 3,8,0,429761.09523809527,434263.4285714286,21.0
LS2 7,14,4,430215.88612099644,433621.0889679715,281.0
LS2 8,14,0,429917.2614678899,433924.2293577982,218.0
LS2 9,4,9,429458.806763285,434567.0531400966,207.0
LS20 8,0,2,418506.47265625,441720.7890625,256.0
LS20 9,1,6,419415.8224299065,442206.0186915888,214.0
LS21 1,8,7,422308.5833333333,445287.9166666667,312.0
LS21 2,2,5,420218.01492537314,447845.9552238806,268.0
LS21 3,12,3,420037.88837209303,445116.38604651164,215.0
LS22 6,1,8,440142.8313253012,448427.4578313253,249.0
LS22 7,1,4,440339.72327044024,449189.43396226416,159.0
LS23 6,0,6,442463.05044510384,444919.2284866469,337.0
LS25 1,1,6,440243.0480349345,432918.7903930131,229.0
LS25 2,1,5,441148.52403846156,433113.2403846154,208.0
LS25 3,0,1,443155.3647058823,436881.3058823529,85.0
LS25 4,0,1,443744.2876712329,432786.5205479452,73.0
LS25 5,1,0,449719.287037037,430393.1296296296,216.0
LS25 7,0,13,441365.6060606061,430623.95075757575,264.0
LS26 0,1,11,434447.81842818426,428663.9891598916,369.0
LS26 8,3,15,437299.608,429183.79733333335,375.0
LS26 9,1,2,439331.14666666667,427281.36666666664,150.0
LS27 0,0,11,425555.9446153846,427626.1323076923,325.0
LS27 7,0,17,425621.81058495824,429150.48746518104,359.0
LS27 8,0,6,427012.3871866295,427880.67688022286,359.0
LS27 9,0,18,426275.8992805755,428056.8489208633,278.0
LS28 5,3,3,421397.86666666664,435365.344,375.0
LS28 6,0,4,422249.5254237288,434444.7161016949,236.0
LS28 7,2,7,421759.5301204819,433587.0030120482,332.0
LS28 8,2,6,421546.9190283401,432947.2388663968,247.0
LS28 9,0,3,422865.1359223301,433026.3932038835,206.0
LS29 6,1,2,416737.1886120996,444148.5516014235,281.0
LS3 1,1,10,428865.0990990991,434004.7792792793,222.0
LS4 2,4,18,427578.00324675324,434763.012987013,308.0
LS5 2,0,1,427019.0,435668.0,1.0
LS5 3,1,13,426270.6176470588,435836.35661764705,272.0
LS6 1,2,71,428586.52994011977,435080.5179640719,334.0
LS6 2,3,26,429166.5351681957,435675.2018348624,327.0
LS6 3,9,39,427707.32525951555,436028.23875432526,289.0
LS6 4,1,10,428653.27,437076.1766666667,300.0
LS7 1,1,10,430454.64705882355,434642.95187165774,187.0
LS7 2,1,18,429621.19601328904,436202.19601328904,301.0
LS7 3,3,12,430470.0444444445,436103.98148148146,270.0
LS7 4,3,16,430885.5052631579,436045.00350877194,285.0
LS8 1,1,10,431918.68166089966,437587.0311418685,289.0
LS8 2,3,8,432686.1608187134,437106.1754385965,342.0
LS8 3,0,35,433045.5082644628,435666.45454545453,242.0
LS8 4,0,2,431818.2670157068,435921.4293193717,191.0
LS8 5,0,18,431681.57421875,435134.46875,256.0
LS9 0,0,13,432818.17669172934,432940.04887218046,266.0
LS9 6,0,23,432907.8120567376,434548.3546099291,282.0
LS9 7,0,28,431724.0662020906,434204.14285714284,287.0
LS9 8,3,5,431325.01953125,433180.49609375,256.0
LS9 9,0,18,432348.9518072289,433464.5240963855,166.0
WF10 2,0,7,,,
WF3 1,0,12,,,
WF3 2,0,5,,,
WF3 3,0,6,,,
