SR_Created_Date,Sr_Num,Enq_Type,Enq_Sub_Type,Postcode
27 July 2017,2-886695013,Tenancy Breach,Noise Nuisance,LS3 1
27 July 2017,2-886586481,LASBT ALMO,Noise Nuisance,LS16 6
27 July 2017,2-886554967,LASBT Private,Noise Nuisance,LS6 3
27 July 2017,2-886567194,LASBT Private,Noise Nuisance,LS6 3
27 July 2017,2-886531950,Tenancy Breach,Noise Nuisance,LS3 1
06 July 2017,2-883861540,LASBT Private,Noise Nuisance,LS6 1
26 July 2017,2-886391395,LASBT Private,Noise Nuisance,LS4 2
07 July 2017,2-884014788,LASBT ALMO,Noise Nuisance,LS6 4
07 July 2017,2-884080764,LASBT Private,Noise Nuisance,LS6 1
07 July 2017,2-884080857,LASBT Private,Noise Nuisance,LS6 1
07 July 2017,2-884101406,LASBT Private,Noise Nuisance,LS6 1
07 July 2017,2-884120614,LASBT ALMO,Noise Nuisance,LS6 2
07 July 2017,2-884120748,LASBT Private,Noise Nuisance,LS12 3
07 July 2017,2-884120858,LASBT Private,Noise Nuisance,BD3 7
24 July 2017,2-886077688,LASBT Private,Noise Nuisance,LS6 3
24 July 2017,2-886077615,LASBT ALMO,Noise Nuisance,LS13 2
24 July 2017,2-886077252,LASBT Private,Noise Nuisance,LS13 2
24 July 2017,2-886077096,LASBT Private,Noise Nuisance,LS6 2
24 July 2017,2-886040663,LASBT Private,Noise Nuisance,LS13 4
07 July 2017,2-884161659,LASBT Private,Noise Nuisance,N
21 July 2017,2-885957264,LASBT Private,Noise Nuisance,LS4 2
21 July 2017,2-885957105,LASBT Private,Noise Nuisance,LS19 6
21 July 2017,2-885950186,LASBT Private,Noise Nuisance,LS6 1
21 July 2017,2-885941916,LASBT Private,Noise Nuisance,LS13 2
10 July 2017,2-884301687,LASBT Private,Noise Nuisance,N
10 July 2017,2-884301718,LASBT Private,Noise Nuisance,N
10 July 2017,2-884301800,LASBT Private,Noise Nuisance,LS28 6
10 July 2017,2-884332210,LASBT Private,Noise Nuisance,LS6 3
21 July 2017,2-885919162,LASBT Private,Noise Nuisance,LS16 5
21 July 2017,2-885893271,LASBT Private,Noise Nuisance,LS6 1
21 July 2017,2-885869627,LASBT Private,Noise Nuisance,LS6 1
20 July 2017,2-885822907,LASBT Private,Noise Nuisance,N
11 July 2017,2-884444114,LASBT ALMO,Noise Nuisance,LS13 3
20 July 2017,2-885753351,LASBT Private,Noise Nuisance,LS19 7
20 July 2017,2-885753310,LASBT Private,Noise Nuisance,LS19 7
20 July 2017,2-885753207,LASBT Private,Noise Nuisance,LS19 7
11 July 2017,2-884511763,LASBT Private,Noise Nuisance,LS12 3
11 July 2017,2-884511847,LASBT ALMO,Noise Nuisance,LS16 6
11 July 2017,2-884536910,LASBT Private,Noise Nuisance,LS12 5
