Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Sela Bar,20 New Briggate,Leeds,,,LS1 6NU,www.mojobar.co.uk
Zen Rendezvous,10 The Green,Guiseley,Leeds,,LS20 9BT,www.zenrendezvous.co.uk
Cheerful Chilli,Yorkgate Farm,East Chevin Road,Otley,,LS21 3ED,
The Cross Keys,107 Water Lane,Leeds,West Yorkshire,,LS11 5WD,http://www.the-crosskeys.com
Duck and Drake,43 Kirkgate,Leeds,West Yorkshire,,LS2 7DR,http://www.duckndrake.co.uk/
Whitelocks,Turks Head Yard,Briggate,Leeds,West Yorkshire,LS1 6HB,http://www.whitelocksleeds.com
Gusto Restaurant & Bars,10 Greek Street,Leeds,,,LS1 5RU,http://gustorestaurants.uk.com
Sandinista,"5/5a Cross, Belgrave Street",Leeds,,,LS2 8JP,http://www.sandinista.co.uk/
Sukhothai - South Parade,5 South Parade,Leeds,,,LS1 5QS,www.sukhothai.co.uk
Thai Edge Leeds,New Portland Place,7 Calverley Street,Leeds,,LS1 3DY,www.thaiedge.co.uk
Brasserie at West Park,269 Otley Road,West Park,Leeds,,LS16 5LN,http://www.brasserieatwestpark.co.uk/
Trio Bar & Grill,44 North Lane,Headingley,Leeds,,LS6 3HU,http://www.arcinspirations.com
Wagamama,31 - 32 Park Row,Leeds,,,LS1 5JD,http://www.wagamama.com
Diva Italiana,Unit 8-10,Booths Yard,Pudsey,Leeds,LS28 7AD,http://italiandiva.co.uk/
Hansa's Restaurant,72/74 North Street,Leeds,,,LS2 7PN,http://www.hansasrestaurant.com
The Restaurant Bar & Grill,The Old Post Office,3 City Square,Leeds,,LS1 2AN,
Ruchee,219 Stainbeck Road,Moortown,Leeds,,LS7 2LR,http://www.ruchee-leeds.co.uk/
Salute at The White Swan,Church Street,Rothwell,Leeds,,LS26 0QL,www.saluteleeds.co.uk
Salvo's,115 & 109 Otley Road,Headingley,Leeds,,LS6 3PX,http://www.salvos.co.uk
Azrams Sheesh Mahal,346-348 Kirkstall Road,Leeds,,,LS4 2DS,
Bibis Italianissimo,Criterion Place,Off Sovereign Street,Leeds,,LS1 4AG,www.bibisrestaurant.com
Brasserie Blanc,Victoria Mill,Sovereign Street,Leeds,,LS1 4BJ,www.brasserieblanc.com
Brasserie Forty 4,44 The Calls,Leeds,,,LS2 7EW,www.brasserie44.com
Bretts Fish Restaurant,12-14 North Lane,Headingley,Leeds,,LS6 3HE,
Chino Latino,Park Plaza Hotel,Boar Lane,City Square,Leeds,LS1 5NS,http://www.chinolatino.co.uk
It Bar Leeds,57-59 New Briggate,Leeds,,,LS2 8JD,
Hop Leeds,Dark Arches,Leeds,,,LS1 4BR,http://thehopleeds.co.uk/
Hilton Leeds City,Neville Street,Leeds,,,LS1 4BX,http://www.hilton.com
North Bar,24 New Briggate,Leeds,,,LS1 6NU,http://www.northbar.com
Aagrah Pudsey,483 Bradford Road,Pudsey,,,LS28 8ED,www.aagrah.com
Arts Cafe Bar & Restaurant,42 Call Lane,Leeds,,,LS1 6DT,http://www.artscafebar.com/
